Category::en,Item::en,Description::en,Enketo?,Collect?,Synonyms,Notes::en
,${variable_name},"Reference another question (can be used in skip logic condition [relevant], validation, inside another question or hint label",✔,✔,,
,.,Current question,✔,✔,,
Appearance,,,,,,(For more controlled views using widgets)
Groups,,,,,,
,field-list,Multiple questions of a group on a screen,✔,✔,,Needs to be applied to a group
,table-list,Show multiple select1s with a shared label in a field list.,✔,✔,,Needs to be applied to a group
select_one / select_multiple,,,,,,
,minimal,Spinner widget - click button to provide a response,✔,✔,,
,label,Table of answers,✔,✔,,
,list-nolabel,"Goes with label, no label on answer just radios",✔,✔,,
,autocomplete,Autocomplete widget,✔,✔,search,Not supported on select_multiple in Enketo
,likert,Shows question as likert widget,✔,✔,,
,horizontal,Displays choices horizontally and automatically creates neat columns for multiple rows,✔,✔,,
,compact,Displays choices horizontally as compact as possible,✔,✔,horizontal-compact,
,compact-n,"Grid widget with max n columns where n is a number from 1 to 10, e.g. use compact-2 or compact-3",✔,✔,,
,quick,Auto advance to next question upon selection,✕,✔,,
,quickcompact,Displays choices horizontally as compact as possible. Auto advance to next question upon selection,✕,✔,quick compact,
,image-map,"When used in conjunction with an SVG media label, the select question will be presented as a clickable image.",✔,✔,,The choices with a value that have a matching id attribute value on a <path> or <g> element in the SVG image are selectable in the presented image
text,numbers,Show the number keyboard on the device,✔,✔,,Enketo: not all browsers provide support
,multiline,Creates a larger text entry field,✔,✕,,
,url,Shows button to launch a website to stored URL,✔,✔,,
,printer,Interface with an external (Zebra barcode) printer,✕,✔,,
,thousands-sep,When used in conjunction with “numbers” this adds a localized thousands separator for numbers shown on screen (not in submission).,✕,✔,,
integer,,,,,,
decimal,,,,,,
,bearing,Shows compass/bearing widget,✕,✔,,
integer and decimal,,,,,,
,thousands-sep,Adds a localized thousands separator on screen (not in submission).,✕,✔,,
range,,,,,,
,vertical,Shows a vertical range slider instead of horizontal,✔,✔,,
,no-ticks,Hides the ticks in a range widget slider,✔,✔,,
,rating,Displays range as stars,✕,✔,,
,picker,Shows range options in a picker instead of a slider,✕,✔,,
,distress,Shows a thermometer surrounding a range slider,✔,✕,,For backwards compatiblity this is also supported on integer types (with harcoded range of 0-10 with step 1). It is no longer recommend to use integer.
date,,,,,,
,month-year,"Together with ‘date’ question type, doesn’t display the day of the month.",✔,✔,,Enketo: not all browsers provide support
,year,"Together with ‘date’ question type, only displays the year.",✔,✔,,On Enketo only works on desktop devices - mobile devices use native full date picker
date and dateTime,,,,,,
,no-calendar,allows to force older spinner-only display on newer 4.x devices,✕,✔,,
,ethiopian,Displays pickers for the Ethiopian calendar.,✕,✔,,
,islamic,Displays pickers for the Ethiopian calendar.,✕,✔,,
,coptic,Displays pickers for the Ethiopian calendar.,✕,✔,,
image,,,,,,
,new,Capture new photo with default camera. Can be combined with annotate.,✔,✔,,Enketo: not all browsers provide support
,new-front,Capture new photo with font-camera (selfie). Can be combined with annotate.,✔,✔,,Enketo: not all browsers provide support
,new-rear,Capture new photo with rear-camera. Can be combined with annotate.,✔,✔,,Enketo: not all browsers provide support
,annotate,Draw on a captured Image,✔,✔,,
,draw,Draw something on the screen,✔,✔,,
,signature,Draw a signature on a line,✔,✔,,
"audio, video",,,,,,
,new,Capture new audio or video with the default camera/mic,✔,✔,,Enketo: not all browsers provide support
"geopoint, geotrace, geoshape",,,,,,
,maps,Records the GPS coordinates of the current location while showing it also in Google Maps,✔,✔,,Enketo: Adds a button on touch screens to see a map; for non-touch devices it’s the same as having no appearance.
,hide-input,Shows a larger map and hides the geo input fields by default.,✔,✕,,
,"streets, terrain, satellite, [other]",Switches the default map layer to the one with the name of the appearance.,✔,✕,,
,placement-map,Allows user to point at a location on a map to record those GPS coordinates,✔,✔,,Enketo: Same as maps
